"scenario","region","subRegion","param","classLabel1","class1","classLabel2","class2","xLabel","x","vintage","units","value"
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",1990,"Vint_1990","Final Energy by Sector (EJ)",0.01743804606
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2005,"Vint_2005","Final Energy by Sector (EJ)",0.02356064741
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2010,"Vint_2010","Final Energy by Sector (EJ)",0.0378514026
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2015,"Vint_2015","Final Energy by Sector (EJ)",0.03874766182
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2020,"Vint_2020","Final Energy by Sector (EJ)",0.11363655502
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2025,"Vint_2025","Final Energy by Sector (EJ)",0.13666423432
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2030,"Vint_2030","Final Energy by Sector (EJ)",0.16309160025
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2035,"Vint_2035","Final Energy by Sector (EJ)",0.18386129084
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2040,"Vint_2040","Final Energy by Sector (EJ)",0.20010114861
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2045,"Vint_2045","Final Energy by Sector (EJ)",0.20962534369
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2050,"Vint_2050","Final Energy by Sector (EJ)",0.21475853045
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2055,"Vint_2055","Final Energy by Sector (EJ)",0.216652117395
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2060,"Vint_2060","Final Energy by Sector (EJ)",0.214110325389
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2065,"Vint_2065","Final Energy by Sector (EJ)",0.210895800362
"KL_socio","KualaLumpur","KualaLumpur","energyFinalConsumBySecEJ","Sector","building","Subsector","building","Year",2070,"Vint_2070","Final Energy by Sector (EJ)",0.206266360871
