"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",1975,"Vint_1975","billion m^2",0.12021474
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",1990,"Vint_1990","billion m^2",0.20329439
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2005,"Vint_2005","billion m^2",0.36880886
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2010,"Vint_2010","billion m^2",0.579401
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2015,"Vint_2015","billion m^2",0.7887459
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2020,"Vint_2020","billion m^2",0.8836
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2025,"Vint_2025","billion m^2",0.9828
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2030,"Vint_2030","billion m^2",1.0689
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2035,"Vint_2035","billion m^2",1.1479
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2040,"Vint_2040","billion m^2",1.2244
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2045,"Vint_2045","billion m^2",1.2973
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2050,"Vint_2050","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2055,"Vint_2055","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2060,"Vint_2060","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2065,"Vint_2065","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2070,"Vint_2070","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2075,"Vint_2075","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2080,"Vint_2080","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2085,"Vint_2085","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2090,"Vint_2090","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2095,"Vint_2095","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","buildingFloorspace","Year",2100,"Vint_2100","billion m^2",1.3642
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",23.0145158333335
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",82.6710360861118
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",124.783895555557
"High_CarbonNeutral","All of Malaysia","All of Malaysia","elecByTechTWh","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",150.045787333335
