year,region,value
1985,Samut Prakan,3830532537.347155
1985,Nonthaburi,1026179381.2423586
1985,Rest of Thailand,39706564922.89718
1986,Thailand,67889091228.19652
1986,Bangkok,19495458208.64079
1986,Samut Prakan,4159779060.71015
1986,Nonthaburi,1114382781.246585
1986,Rest of Thailand,43119471177.59899
1987,Thailand,77626349415.84116
1987,Bangkok,22291670481.182274
1987,Samut Prakan,4756411626.928236
1987,Nonthaburi,1274217486.12413
1987,Rest of Thailand,49304049821.606514
1988,Thailand,91520802465.58646
1988,Bangkok,26281688963.720547
1988,Samut Prakan,5607768653.671664
1988,Nonthaburi,1502291525.02133
1988,Rest of Thailand,58129053323.17291
1989,Thailand,103214897987.1891
1989,Bangkok,29639838946.358253
1989,Samut Prakan,6324302824.400162
1989,Nonthaburi,1694247234.779223
1989,Rest of Thailand,65556508981.65146
1990,Thailand,117570541507.86108
1990,Bangkok,33762295783.711918
1990,Samut Prakan,7203918448.058834
1990,Nonthaburi,1929891602.1397717
1990,Rest of Thailand,74674435673.95056
1991,Thailand,130970102470.8003
1991,Bangkok,37610197943.56023
1991,Samut Prakan,8024951873.42885
1991,Nonthaburi,2149842108.815011
1991,Rest of Thailand,83185110544.9962
1992,Thailand,145281052076.6909
1992,Bangkok,41719820195.38567
1992,Samut Prakan,8901828959.754274
1992,Nonthaburi,2384752836.5265703
1992,Rest of Thailand,92274650085.02437
1993,Thailand,164104768741.0032
1993,Bangkok,47125357004.338844
1993,Samut Prakan,10055217538.218931
1993,Nonthaburi,2693739528.6486425
1993,Rest of Thailand,104230454669.7968
1994,Thailand,182870174208.85004
1994,Bangkok,52514148803.553
1994,Samut Prakan,11205033205.488672
1994,Nonthaburi,3001769056.782813
1994,Rest of Thailand,116149223143.02554
1995,Thailand,206728753810.20657
1995,Bangkok,59365528504.1932
1995,Samut Prakan,12666923739.719141
1995,Nonthaburi,3393401789.1077094
1995,Rest of Thailand,131302899777.18652
1996,Thailand,219520770544.5964
1996,Bangkok,63038964444.16278
1996,Samut Prakan,13450731011.157001
1996,Nonthaburi,3603379606.28464
1996,Rest of Thailand,139427695482.99197
1997,Thailand,177086215300.21024
1997,Bangkok,50853190803.61664
1997,Samut Prakan,10850631773.375011
1997,Nonthaburi,2906826789.938196
1997,Rest of Thailand,112475565933.28038
1998,Thailand,132601578614.9964
1998,Bangkok,38078702889.084656
1998,Samut Prakan,8124917570.124704
1998,Nonthaburi,2176622389.5672684
1998,Rest of Thailand,84221335766.21977
1999,Thailand,145532104814.83795
1999,Bangkok,41791914077.866135
1999,Samut Prakan,8917211754.020407
1999,Nonthaburi,2388873805.6471543
1999,Rest of Thailand,92434105177.30426
2000,Thailand,141982821400.22226
2000,Bangkok,40772679540.646065
2000,Samut Prakan,8699735948.091337
2000,Nonthaburi,2330613188.934567
2000,Rest of Thailand,90179792722.5503
2001,Thailand,132122506960.86156
2001,Bangkok,37941129661.29263
2001,Samut Prakan,8095563336.633033
2001,Nonthaburi,2168758545.8673034
2001,Rest of Thailand,83917055417.06859
2002,Thailand,145275466409.52972
2002,Bangkok,41718216180.09046
2002,Samut Prakan,8901486708.28387
2002,Nonthaburi,2384661149.170125
2002,Rest of Thailand,92271102371.98528
2003,Thailand,161503713933.24493
2003,Bangkok,46378421754.71844
2003,Samut Prakan,9895842694.200125
2003,Nonthaburi,2651043851.944097
2003,Rest of Thailand,102578405632.38228
2004,Thailand,178460022980.2513
2004,Bangkok,51247702053.19169
2004,Samut Prakan,10934809309.375143
2004,Nonthaburi,2929377506.0500984
2004,Rest of Thailand,113348134111.6344
2005,Thailand,189319000000
2005,Bangkok,54366034157.027176
2005,Samut Prakan,11600173131.607635
2005,Nonthaburi,3107624950.4308877
2005,Rest of Thailand,120245167760.9343
2006,Thailand,215148342059.1896
2006,Bangkok,61783350393.87314
2006,Samut Prakan,13182818506.673605
2006,Nonthaburi,3531607265.1291037
2006,Rest of Thailand,136650565893.51378
2007,Thailand,248492440654.63287
2007,Bangkok,71358651357.72331
2007,Samut Prakan,15225916751.5647
2007,Nonthaburi,4078942465.2137604
2007,Rest of Thailand,157828930080.1311
2008,Thailand,270073750115.8737
2008,Bangkok,77556075849.31259
2008,Samut Prakan,16548271751.100908
2008,Nonthaburi,4433194366.738288
2008,Rest of Thailand,171536208148.7219
2009,Thailand,259139394800
2009,Bangkok,74416097640.11087
2009,Samut Prakan,15878289262.567537
2009,Nonthaburi,4253709606.1147604
2009,Rest of Thailand,164591298291.20685
2010,Thailand,309853330619.23193
2010,Bangkok,88979430253.24345
2010,Samut Prakan,18985692300.235855
2010,Nonthaburi,5086166423.900592
2010,Rest of Thailand,196802041641.852
2011,Thailand,330496392264.0456
2011,Bangkok,97985664282.63303
2011,Samut Prakan,17602007907.9649
2011,Nonthaburi,5161713888.925798
2011,Rest of Thailand,209747006184.52185
2012,Thailand,347901691941.75745
2012,Bangkok,103043151910.44135
2012,Samut Prakan,19744060888.985397
2012,Nonthaburi,5602702660.584782
2012,Rest of Thailand,219511776481.7459
2013,Thailand,362004909342.8391
2013,Bangkok,110886022202.31798
2013,Samut Prakan,18383400455.35595
2013,Nonthaburi,6218139095.565411
2013,Rest of Thailand,226517347589.59976
2014,Thailand,344502280432.2463
2014,Bangkok,109474668127.18646
2014,Samut Prakan,17341968679.6902
2014,Nonthaburi,6596584365.893242
2014,Rest of Thailand,211089059259.47638
2015,Thailand,335653041179.2566
2015,Bangkok,109115267111.70032
2015,Samut Prakan,16789956892.907825
2015,Nonthaburi,6651184410.714233
2015,Rest of Thailand,203096632763.9342
2016,Thailand,341515116602.8303
2016,Bangkok,111910116433.62505
2016,Samut Prakan,16452385762.808657
2016,Nonthaburi,6775770251.834314
2016,Rest of Thailand,206376844154.5623
2017,Thailand,370003751700.5683
2017,Bangkok,121153571223.65968
2017,Samut Prakan,17430399899.69899
2017,Nonthaburi,7576008479.931828
2017,Rest of Thailand,223843772097.27783
2018,Thailand,400752194506.1931
2018,Bangkok,132444683388.20071
2018,Samut Prakan,19384223259.601162
2018,Nonthaburi,7994644315.379923
2018,Rest of Thailand,240928643543.01132
2019,Thailand,423147826399.0786
2019,Bangkok,142983572214.5783
2019,Samut Prakan,19344252928.860428
2019,Nonthaburi,8649495206.991617
2019,Rest of Thailand,252170506048.64825
2020,Thailand,439650591628.64264
2020,Bangkok,148559931530.94684
2020,Samut Prakan,20098678793.085983
2020,Nonthaburi,8986825520.06429
2020,Rest of Thailand,262005155784.54553
2021,Thailand,456357314110.53107
2021,Bangkok,154205208929.12283
2021,Samut Prakan,20862428587.22325
2021,Nonthaburi,9328324889.826733
2021,Rest of Thailand,271961351704.35822
2022,Thailand,474155249360.84174
2022,Bangkok,160219212077.3586
2022,Samut Prakan,21676063302.124958
2022,Nonthaburi,9692129560.529974
2022,Rest of Thailand,282567844420.82825
2023,Thailand,492173148836.5537
2023,Bangkok,166307542136.29825
2023,Samut Prakan,22499753707.60571
2023,Nonthaburi,10060430483.830112
2023,Rest of Thailand,293305422508.81964
2024,Thailand,511367901641.17926
2024,Bangkok,172793536279.61386
2024,Samut Prakan,23377244102.20233
2024,Nonthaburi,10452787272.699486
2024,Rest of Thailand,304744333986.66364
2025,Thailand,530799881903.54407
2025,Bangkok,179359690658.2392
2025,Samut Prakan,24265579378.08602
2025,Nonthaburi,10849993189.062067
2025,Rest of Thailand,316324618678.1568
2026,Thailand,550439477533.9751
2026,Bangkok,185995999212.59402
2026,Samut Prakan,25163405815.075203
2026,Nonthaburi,11251442937.057364
2026,Rest of Thailand,328028629569.24854
2027,Thailand,571356177680.2661
2027,Bangkok,193063847182.6726
2027,Samut Prakan,26119615236.04806
2027,Nonthaburi,11678997768.665545
2027,Rest of Thailand,340493717492.87994
2028,Thailand,592496356254.4359
2028,Bangkok,200207209528.4315
2028,Samut Prakan,27086040999.781837
2028,Nonthaburi,12111120686.106169
2028,Rest of Thailand,353091985040.1164
2029,Thailand,614418721435.85
2029,Bangkok,207614876280.98343
2029,Samut Prakan,28088224516.77376
2029,Nonthaburi,12559232151.492096
2029,Rest of Thailand,366156388486.60077
2030,Thailand,637152214128.9763
2030,Bangkok,215296626703.3798
2030,Samut Prakan,29127488823.89439
2030,Nonthaburi,13023923741.097303
2030,Rest of Thailand,379704174860.60486
2031,Thailand,660726846051.7484
2031,Bangkok,223262601891.40482
2031,Samut Prakan,30205205910.37848
2031,Nonthaburi,13505808919.517902
2031,Rest of Thailand,393753229330.44727
2032,Thailand,685173739355.6631
2032,Bangkok,231523318161.38678
2032,Samut Prakan,31322798529.06248
2032,Nonthaburi,14005523849.540064
2032,Rest of Thailand,408322098815.67377
2033,Thailand,710525167711.8225
2033,Bangkok,240089680933.35806
2033,Samut Prakan,32481742074.63779
2033,Nonthaburi,14523728231.973045
2033,Rest of Thailand,423430016471.85364
2034,Thailand,736104073749.4481
2034,Bangkok,248732909446.95895
2034,Samut Prakan,33651084789.324753
2034,Nonthaburi,15046582448.324076
2034,Rest of Thailand,438673497064.8403
2035,Thailand,762603820404.4282
2035,Bangkok,257687294187.04947
2035,Samut Prakan,34862523841.74045
2035,Nonthaburi,15588259416.463743
2035,Rest of Thailand,454465742959.17456
2036,Thailand,790057557938.9877
2036,Bangkok,266964036777.78326
2036,Samut Prakan,36117574700.043106
2036,Nonthaburi,16149436755.456438
2036,Rest of Thailand,470826509705.7049
2037,Thailand,818499630024.7913
2037,Bangkok,276574742101.78345
2037,Samut Prakan,37417807389.24466
2037,Nonthaburi,16730816478.65287
2037,Rest of Thailand,487776264055.1102
2038,Thailand,847965616705.6837
2038,Bangkok,286531432817.44763
2038,Samut Prakan,38764848455.25747
2038,Nonthaburi,17333125871.884373
2038,Rest of Thailand,505336209561.09424
2039,Thailand,878492378907.0884
2039,Bangkok,296846564398.87573
2039,Samut Prakan,40160382999.646736
2039,Nonthaburi,17957118403.27221
2039,Rest of Thailand,523528313105.2937
2040,Thailand,910118104547.7435
2040,Bangkok,307533040717.2353
2040,Samut Prakan,41606156787.63402
2040,Nonthaburi,18603574665.79001
2040,Rest of Thailand,542375332377.0842
2041,Thailand,942882356311.4623
2041,Bangkok,318604230183.0558
2041,Samut Prakan,43103978431.988846
2041,Nonthaburi,19273303353.75845
2041,Rest of Thailand,561900844342.6592
2042,Thailand,976826121138.6749
2042,Bangkok,330073982469.6458
2042,Samut Prakan,44655721655.54044
2042,Nonthaburi,19967142274.493755
2042,Rest of Thailand,582129274738.9949
2043,Thailand,1011991861499.6672
2043,Bangkok,341956645838.5531
2043,Samut Prakan,46263327635.1399
2043,Nonthaburi,20685959396.37553
2043,Rest of Thailand,603085928629.5988
2044,Thailand,1048423568513.6553
2044,Bangkok,354267085088.741
2044,Samut Prakan,47928807430.00494
2044,Nonthaburi,21430653934.64505
2044,Rest of Thailand,624797022060.2644
2045,Thailand,1086166816980.1469
2045,Bangkok,367020700151.9357
2045,Samut Prakan,49654244497.485115
2045,Nonthaburi,22202157476.29227
2045,Rest of Thailand,647289714854.4338
2046,Thailand,1125268822391.4321
2046,Bangkok,380233445357.40546
2046,Samut Prakan,51441797299.39458
2046,Nonthaburi,23001435145.438793
2046,Rest of Thailand,670592144589.1932
2047,Thailand,1165778499997.5237
2047,Bangkok,393921849390.2721
2047,Samut Prakan,53293702002.17278
2047,Nonthaburi,23829486810.67459
2047,Rest of Thailand,694733461794.4043
2048,Thailand,1207746525997.4346
2048,Bangkok,408103035968.3219
2048,Samut Prakan,55212275274.25101
2048,Nonthaburi,24687348335.858875
2048,Rest of Thailand,719743866419.0028
2049,Thailand,1251225400933.3423
2049,Bangkok,422794745263.1815
2049,Samut Prakan,57199917184.12405
2049,Nonthaburi,25576092875.949795
2049,Rest of Thailand,745654645610.0869
2050,Thailand,1296269515366.9426
2050,Bangkok,438015356092.65607
2050,Samut Prakan,59259114202.75251
2050,Nonthaburi,26496832219.48399
2050,Rest of Thailand,772498212852.05
2051,Thailand,1342935217920.1526
2051,Bangkok,453783908911.9917
2051,Samut Prakan,61392442314.051605
2051,Nonthaburi,27450718179.385414
2051,Rest of Thailand,800308148514.7239
2052,Thailand,1391280885765.278
2052,Bangkok,470120129632.8234
2052,Samut Prakan,63602570237.35747
2052,Nonthaburi,28438944033.84329
2052,Rest of Thailand,829119241861.2539
2053,Thailand,1441366997652.8281
2053,Bangkok,487044454299.6051
2053,Samut Prakan,65892262765.902336
2053,Nonthaburi,29462746019.06165
2053,Rest of Thailand,858967534568.259
2054,Thailand,1493256209568.33
2054,Bangkok,504578054654.3909
2054,Samut Prakan,68264384225.47482
2054,Nonthaburi,30523404875.74787
2054,Rest of Thailand,889890365812.7164
2055,Thailand,1547013433112.79
2055,Bangkok,522742864621.94904
2055,Samut Prakan,70721902057.59192
2055,Nonthaburi,31622247451.274796
2055,Rest of Thailand,921926418981.9744
2056,Thailand,1602705916704.8506
2056,Bangkok,541561607748.33923
2056,Samut Prakan,73267890531.66524
2056,Nonthaburi,32760648359.52069
2056,Rest of Thailand,955115770065.3254
2057,Thailand,1660403329706.2253
2057,Bangkok,561057825627.2794
2057,Samut Prakan,75905534590.80519
2057,Nonthaburi,33940031700.463436
2057,Rest of Thailand,989499937787.6774
2058,Thailand,1720177849575.6494
2058,Bangkok,581255907349.8615
2058,Samut Prakan,78638133836.07417
2058,Nonthaburi,35161872841.68012
2058,Rest of Thailand,1025121935548.0337
2059,Thailand,1782104252160.3728
2059,Bangkok,602181120014.4564
2059,Samut Prakan,81469106654.17285
2059,Nonthaburi,36427700263.980606
2059,Rest of Thailand,1062026325227.763
2060,Thailand,1846260005238.1462
2060,Bangkok,623859640334.9769
2060,Samut Prakan,84401994493.72308
2060,Nonthaburi,37739097473.48391
2060,Rest of Thailand,1100259272935.9624
2061,Thailand,1912725365426.7195
2061,Bangkok,646318587387.0361
2061,Samut Prakan,87440466295.49712
2061,Nonthaburi,39097704982.529335
2061,Rest of Thailand,1139868606761.657
2062,Thailand,1981583478582.0815
2062,Bangkok,669586056532.9695
2062,Samut Prakan,90588323082.13501
2062,Nonthaburi,40505222361.90039
2062,Rest of Thailand,1180903876605.0767
2063,Thailand,2052920483811.0366
2063,Bangkok,693691154568.1564
2063,Samut Prakan,93849502713.09187
2063,Nonthaburi,41963410366.9288
2063,Rest of Thailand,1223416416162.8599
2064,Thailand,2126825621228.234
2064,Bangkok,718664036132.61
2064,Samut Prakan,97228084810.76318
2064,Nonthaburi,43474093140.13824
2064,Rest of Thailand,1267459407144.7227
2065,Thailand,2203391343592.45
2065,Bangkok,744535941433.3839
2065,Samut Prakan,100728295863.95067
2065,Nonthaburi,45039160493.18321
2065,Rest of Thailand,1313087945801.9326
2066,Thailand,2282713431961.7783
2066,Bangkok,771339235324.9857
2066,Samut Prakan,104354514515.0529
2066,Nonthaburi,46660570270.93781
2066,Rest of Thailand,1360359111850.8018
2067,Thailand,2364891115512.4023
2067,Bangkok,799107447796.6852
2067,Samut Prakan,108111277037.5948
2067,Nonthaburi,48340350800.691574
2067,Rest of Thailand,1409332039877.431
2068,Thailand,2450027195670.849
2068,Bangkok,827875315917.3658
2068,Samut Prakan,112003283010.94821
2068,Nonthaburi,50080603429.51647
2068,Rest of Thailand,1460067993313.0188
2069,Thailand,2538228174715
2069,Bangkok,857678827290.391
2069,Samut Prakan,116035401199.34235
2069,Nonthaburi,51883505152.979065
2069,Rest of Thailand,1512630441072.2876
2070,Thailand,2629604389004.74
2070,Bangkok,888555265072.8451
2070,Samut Prakan,120212675642.51868
2070,Nonthaburi,53751311338.48631
2070,Rest of Thailand,1567085136950.8901
2071,Thailand,2724270147008.911
2071,Bangkok,920543254615.4675
2071,Samut Prakan,124540331965.64935
2071,Nonthaburi,55686358546.67182
2071,Rest of Thailand,1623500201881.1223
2072,Thailand,2822343872301.232
2072,Bangkok,953682811781.6244
2072,Samut Prakan,129023783916.41273
2072,Nonthaburi,57691067454.35201
2072,Rest of Thailand,1681946209148.8425
2073,Thailand,2923948251704.076
2073,Bangkok,988015393005.763
2073,Samut Prakan,133668640137.4036
2073,Nonthaburi,59767945882.70869
2073,Rest of Thailand,1742496272678.201
2074,Thailand,3029210388765.423
2074,Bangkok,1023583947153.9705
2074,Samut Prakan,138480711182.35013
2074,Nonthaburi,61919591934.4862
2074,Rest of Thailand,1805226138494.6162
2075,Thailand,3138261962760.978
2075,Bangkok,1060432969251.5134
2075,Samut Prakan,143466016784.91473
2075,Nonthaburi,64148697244.1277
2075,Rest of Thailand,1870214279480.422
2076,Thailand,3251239393420.3735
2076,Bangkok,1098608556144.568
2076,Samut Prakan,148630793389.17166
2076,Nonthaburi,66458050344.9163
2076,Rest of Thailand,1937541993541.7178
2077,Thailand,3368284011583.5073
2077,Bangkok,1138158464165.7725
2077,Samut Prakan,153981501951.18185
2077,Nonthaburi,68850540157.33328
2077,Rest of Thailand,2007293505309.2197
2078,Thailand,3489542236000.5137
2078,Bangkok,1179132168875.7402
2078,Samut Prakan,159524836021.4244
2078,Nonthaburi,71329159602.99728
2078,Rest of Thailand,2079556071500.352
2079,Thailand,3615165756496.532
2079,Bangkok,1221580926955.2668
2079,Samut Prakan,165267730118.19568
2079,Nonthaburi,73897009348.70518
2079,Rest of Thailand,2154420090074.3647
2080,Thailand,3745311723730.4077
2080,Bangkok,1265557840325.6565
2080,Samut Prakan,171217368402.4507
2080,Nonthaburi,76557301685.25858
2080,Rest of Thailand,2231979213317.0415
2081,Thailand,3880142945784.7026
2081,Bangkok,1311117922577.3801
2081,Samut Prakan,177381193664.93893
2081,Nonthaburi,79313364545.92789
2081,Rest of Thailand,2312330464996.4556
2082,Thailand,4019828091832.952
2082,Bangkok,1358318167790.1658
2082,Samut Prakan,183766916636.87674
2082,Nonthaburi,82168645669.5813
2082,Rest of Thailand,2395574361736.328
2083,Thailand,4164541903138.9385
2083,Bangkok,1407217621830.6118
2083,Samut Prakan,190382525635.80432
2083,Nonthaburi,85126716913.68623
2083,Rest of Thailand,2481815038758.8364
2084,Thailand,4314465411651.9404
2084,Bangkok,1457877456216.514
2084,Samut Prakan,197236296558.69327
2084,Nonthaburi,88191278722.57893
2084,Rest of Thailand,2571160380154.1543
2085,Thailand,4469786166471.41
2085,Bangkok,1510361044640.3083
2085,Samut Prakan,204336803234.80624
2085,Nonthaburi,91366164756.59178
2085,Rest of Thailand,2663722153839.7036
2086,Thailand,4630698468464.381
2086,Bangkok,1564734042247.3596
2086,Samut Prakan,211692928151.25928
2086,Nonthaburi,94655346687.82909
2086,Rest of Thailand,2759616151377.933
2087,Thailand,4797403613329.099
2087,Bangkok,1621064467768.2646
2087,Samut Prakan,219313873564.70462
2087,Nonthaburi,98062939168.59094
2087,Rest of Thailand,2858962332827.5386
2088,Thailand,4970110143408.946
2088,Bangkok,1679422788607.922
2088,Samut Prakan,227209173013.034
2088,Nonthaburi,101593204978.66022
2088,Rest of Thailand,2961884976809.33
2089,Thailand,5149034108571.669
2089,Bangkok,1739882008997.8074
2089,Samut Prakan,235388703241.50323
2089,Nonthaburi,105250560357.89198
2089,Rest of Thailand,3068512835974.466
2090,Thailand,5334399336480.249
2090,Bangkok,1802517761321.7285
2090,Samut Prakan,243862696558.19736
2090,Nonthaburi,109039580530.7761
2090,Rest of Thailand,3178979298069.5474
2091,Thailand,5526437712593.538
2091,Bangkok,1867408400729.3108
2091,Samut Prakan,252641753634.29248
2091,Nonthaburi,112965005429.88403
2091,Rest of Thailand,3293422552800.0513
2092,Thailand,5725389470246.905
2092,Bangkok,1934635103155.566
2092,Samut Prakan,261736856765.127
2092,Nonthaburi,117031745625.35986
2092,Rest of Thailand,3411985764700.8525
2093,Thailand,5931503491175.794
2093,Bangkok,2004281966869.1663
2093,Samut Prakan,271159383608.6716
2093,Nonthaburi,121244888467.87282
2093,Rest of Thailand,3534817252230.0835
2094,Thailand,6145037616858.123
2094,Bangkok,2076436117676.4563
2094,Samut Prakan,280921121418.5838
2094,Nonthaburi,125609704452.71625
2094,Rest of Thailand,3662070673310.3667
2095,Thailand,6366258971065.016
2095,Bangkok,2151187817912.8088
2095,Samut Prakan,291034281789.65283
2095,Nonthaburi,130131653813.01404
2095,Rest of Thailand,3793905217549.54
2096,Thailand,6595444294023.356
2096,Bangkok,2228630579357.67
2096,Samut Prakan,301511515934.0803
2096,Nonthaburi,134816393350.28255
2096,Rest of Thailand,3930485805381.323
2097,Thailand,6832880288608.197
2097,Bangkok,2308861280214.546
2097,Samut Prakan,312365930507.7072
2097,Nonthaburi,139669783510.89273
2097,Rest of Thailand,4071983294375.052
2098,Thailand,7078863978998.093
2098,Bangkok,2391980286302.2695
2098,Samut Prakan,323611104005.9847
2098,Nonthaburi,144697895717.28488
2098,Rest of Thailand,4218574692972.553
2099,Thailand,7333703082242.024
2099,Bangkok,2478091576609.1514
2099,Samut Prakan,335261103750.20013
2099,Nonthaburi,149907019963.10715
2099,Rest of Thailand,4370443381919.5654
2100,Thailand,7597716393202.737
2100,Bangkok,2567302873367.081
2100,Samut Prakan,347330503485.20734
2100,Nonthaburi,155303672681.77902
2100,Rest of Thailand,4527779343668.67
